epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5712.91,1.03261,0.60656,0.89274,0.88665,0.71541,0.81756,0.52468,1.04057,0.59063,0.93077,0.000742625,0.000742625,0.000742625
43,5833.53,1.00413,0.5814,0.88461,0.85583,0.77396,0.83183,0.5467,1.02116,0.57524,0.92088,0.00073025,0.00073025,0.00073025
44,5975,1.00401,0.56818,0.89029,0.90417,0.76768,0.83215,0.54819,1.0181,0.5734,0.91763,0.000717875,0.000717875,0.000717875
45,6115.83,0.98927,0.56534,0.89041,0.84307,0.79844,0.83562,0.55891,1.01664,0.57208,0.91789,0.0007055,0.0007055,0.0007055
46,6256.35,0.99276,0.56971,0.88525,0.82037,0.79375,0.82887,0.55007,1.01636,0.57943,0.91791,0.000693125,0.000693125,0.000693125
47,6397.74,0.98043,0.57143,0.88507,0.86645,0.76962,0.81918,0.54404,1.01082,0.57349,0.9201,0.00068075,0.00068075,0.00068075
48,6539.25,1.00035,0.56502,0.87965,0.90143,0.77948,0.83574,0.55917,1.00683,0.55634,0.91516,0.000668375,0.000668375,0.000668375
49,6679.76,0.99342,0.55459,0.88259,0.90578,0.76643,0.83666,0.55965,0.99885,0.5505,0.91355,0.000656,0.000656,0.000656
50,6821.32,1.00423,0.55872,0.88372,0.8489,0.78134,0.83493,0.56,1.00197,0.55016,0.91,0.000643625,0.000643625,0.000643625
51,6960.45,0.94503,0.5366,0.87503,0.92026,0.7677,0.8356,0.55503,1.01425,0.5596,0.91885,0.00063125,0.00063125,0.00063125
52,7100.82,0.97202,0.55038,0.88159,0.86048,0.79071,0.83812,0.55689,0.99958,0.5384,0.91155,0.000618875,0.000618875,0.000618875
53,7242.86,0.96905,0.54041,0.87476,0.80363,0.80043,0.82711,0.56052,1.0189,0.5411,0.92005,0.0006065,0.0006065,0.0006065
54,7383.69,0.96405,0.5425,0.88106,0.83897,0.79998,0.83148,0.56293,0.99079,0.54591,0.91233,0.000594125,0.000594125,0.000594125
55,7525.7,0.97699,0.54209,0.87962,0.8362,0.80612,0.82841,0.55694,1.00613,0.52955,0.91313,0.00058175,0.00058175,0.00058175
56,7667.79,0.96272,0.5336,0.87434,0.86659,0.76302,0.82732,0.55952,0.98874,0.54813,0.91342,0.000569375,0.000569375,0.000569375
57,7809.29,0.94706,0.52401,0.87523,0.8654,0.76939,0.8322,0.5545,1.01605,0.54627,0.91749,0.000557,0.000557,0.000557
58,7950.03,0.95846,0.53245,0.87067,0.85401,0.79996,0.83638,0.53769,1.02055,0.54297,0.91475,0.000544625,0.000544625,0.000544625
59,8091.42,0.9689,0.53289,0.87633,0.81489,0.82152,0.83413,0.56116,1.00294,0.53113,0.91259,0.00053225,0.00053225,0.00053225
60,8231.15,0.97808,0.53375,0.87553,0.88033,0.72146,0.82473,0.5419,1.01737,0.55805,0.91253,0.000519875,0.000519875,0.000519875
61,8370.35,0.99731,0.53827,0.88449,0.87454,0.80546,0.84752,0.56255,0.99922,0.52552,0.91189,0.0005075,0.0005075,0.0005075
62,8507.79,0.9762,0.52602,0.87746,0.88236,0.80657,0.84859,0.55995,1.0131,0.52389,0.91375,0.000495125,0.000495125,0.000495125
63,8644.85,0.95996,0.5136,0.87237,0.86144,0.79233,0.84245,0.55924,1.00409,0.52578,0.91312,0.00048275,0.00048275,0.00048275
64,8770.32,0.95101,0.51418,0.87071,0.88192,0.81658,0.84933,0.5581,0.99688,0.52229,0.91288,0.000470375,0.000470375,0.000470375
65,8890.47,0.95585,0.51174,0.8746,0.88835,0.80857,0.84398,0.55893,1.00366,0.5173,0.91517,0.000458,0.000458,0.000458
